ID,RiskScore
0,33.59150787130816
1,52.56571411631752
2,31.030038750951512
3,35.222502464337936
4,32.85760913228135
5,68.24600962158561
6,31.288474072176115
7,31.342615180864264
8,34.98131635298509
9,68.81514302403664
10,32.83691328744915
11,29.44365578186121
12,65.31542286819175
13,35.54703530280755
14,31.750465352113494
15,60.85886885329107
16,24.023243022751174
17,33.24455347619102
18,67.70607735489556
19,67.94819248285754
20,71.71891794781628
21,33.41721001687387
22,67.8000216675244
23,43.04077471821133
24,51.29119169919924
25,28.344991234031074
26,32.08876780231921
27,27.719066275293358
28,55.777510948978296
29,71.30925012226761
30,30.70674581226041
31,65.62410734475945
32,32.778424056365495
33,30.450874504819964
34,39.682203156941696
35,38.74067003790044
36,71.11819083581972
37,55.838046831640796
38,49.684085583935556
39,75.08528802019883
40,72.7716979789852
41,46.94118245835781
42,80.92504158895511
43,22.44766998358199
44,55.285128241433085
45,29.02559315967231
46,35.624125364096535
47,70.55473474799872
48,29.219299351568125
49,36.24470458336941
50,67.4955092489561
51,57.66111988145751
52,42.81678366224287
53,26.741350377227974
54,30.53962571386606
55,40.79337690774088
56,73.73274330927414
57,34.26981791523268
58,41.48224867085616
59,61.253342611651256
60,69.57954363485239
61,48.49255521826748
62,32.2241803167883
63,88.69059309570086
64,26.561030937885285
65,31.617643139570347
66,60.631293470049016
67,65.83301902814918
68,36.77265086554519
69,69.30645987205043
70,36.52105771543033
71,39.73471490856303
72,48.63683362509672
73,56.941377949314806
74,49.185517279181106
75,66.51790113892385
76,71.62513484156378
77,24.704128098166926
78,50.73092795023144
79,59.26237240226807
80,74.79674385160743
81,52.7127300912581
82,61.55986841347653
83,34.18267339299461
84,71.0380732604307
85,76.7155428761044
86,63.460962652471814
87,22.88801540535256
88,37.74244569957858
89,73.78445777876284
90,33.98942853354838
91,43.4170983423466
92,41.00466165752449
93,30.165144959911814
94,41.54075342178702
95,37.05095794582269
96,35.34770405651861
97,67.90300480571393
98,39.44777211756267
99,63.49668307162625
100,33.95598667474056
101,33.56287951420034
102,69.5872367415849
103,77.47986884600881
104,31.641784716509846
105,79.43750817544617
106,74.44474915107276
107,72.40522593996978
108,38.03873228984715
109,68.38124769906487
110,53.87519567962453
111,67.57251313913144
112,77.33448503570406
113,64.40503395195259
114,70.42496554017747
115,31.884725361266717
116,72.60310210359394
117,57.35225419744933
118,40.07049482036366
119,45.24326514949357
120,24.270769689022448
121,71.88041802522605
122,32.06121490158537
123,50.84961774843687
124,34.02794599466106
125,61.18247245600962
126,24.69794413492857
127,29.79254435470498
128,33.62376901582306
129,65.98363583500745
130,29.552214449249455
131,71.24240383159972
132,73.97718164464438
133,79.02542119126633
134,27.70638377970256
135,38.08026561333498
136,22.719976485248864
137,41.654716987304745
138,33.31008436081915
139,48.01119552558228
140,39.99686030190814
141,36.57899512777987
142,25.394934501701208
143,25.439198918747046
144,66.99717298852946
145,33.317804516383525
146,48.28737664322807
147,64.731161962042
148,70.14550882019239
149,69.58395405247015
150,43.46031991703262
151,33.27730916792487
152,77.66911101424981
153,48.918292914161036
154,64.9081512669355
155,34.4603965754979
156,69.5677550082277
157,66.07733679874201
158,68.30231214135875
159,73.13838644228545
160,37.83578638410371
161,37.516030778776816
162,70.77875422224552
163,40.62402845538413
164,46.0272189139242
165,52.45438585326453
166,37.53177319393687
167,35.28490837344476
168,34.42936102459405
169,27.548800684921588
170,36.42177335991653
171,51.82853156342846
172,65.90879585133885
173,44.628359845774135
174,32.1370207623947
175,60.55943126056481
176,47.81175479987935
177,42.07727588539387
178,56.928270012017734
179,72.53926162125204
180,48.8763574558498
